,Player,Points,Games
571,Caron Butler,790.1666666666666,78.0
572,Carrick Felix,19.0,7.0
573,Cartier Martin,154.45454545454547,59.0
574,Casey Jacobsen,339.1666666666667,84.0
575,Casey Shaw,2.0,9.0
576,Casper Ware,48.0,9.0
577,Cazzie Russell,1031.4166666666667,82.0
578,Cedric Ball,8.0,7.0
579,Cedric Bozeman,26.0,23.0
580,Cedric Ceballos,601.1176470588235,78.0
581,Cedric Henderson,238.375,82.0
582,Cedric Hunter,0.0,1.0
583,Cedric Jackson,10.0,12.0
584,Cedric Lewis,4.0,3.0
585,Cedric Maxwell,867.2307692307693,81.0
586,Cedric Simmons,28.571428571428573,43.0
587,Cedrick Hordges,549.5,77.0
588,Cezary Trybanski,4.0,15.0
589,Chad Gallagher,6.0,2.0
590,Chad Kinch,78.66666666666667,41.0
591,Chandler Parsons,847.6666666666666,76.0
592,Channing Frye,601.3846153846154,82.0
593,Charles Barkley*,1484.8125,82.0
594,Charles Bradley,115.66666666666667,51.0
595,Charles Claxton,2.0,3.0
596,Charles Davis,223.0,74.0
597,Charles Dudley,318.0,82.0
598,Charles Jenkins,129.75,59.0
599,Charles Johnson,529.3333333333334,82.0
600,Charles Jones,143.95652173913044,81.0
601,Charles O'Bannon,60.0,30.0
602,Charles Oakley,653.5263157894736,82.0
603,Charles Pittman,265.0,69.0
604,Charles Shackleford,270.8333333333333,72.0
605,Charles Smith,427.39130434782606,81.0
606,Charles Thomas,48.0,36.0
607,Charley Shipp,107.0,23.0
608,Charlie Bell,356.8888888888889,82.0
609,Charlie Black,334.75,65.0
610,Charlie Criss,348.5,81.0
611,Charlie Davis,388.6,75.0
612,Charlie Hardnett,399.3333333333333,78.0
613,Charlie Lowery,45.0,20.0
614,Charlie Parsley,22.0,9.0
615,Charlie Paulk,160.8,68.0
616,Charlie Scott,1009.1818181818181,82.0
617,Charlie Sitton,91.0,43.0
618,Charlie Tyra,618.2,78.0
619,Charlie Villanueva,618.9090909090909,81.0
620,Charlie Ward,336.2307692307692,82.0
621,Charlie Yelverton,545.0,69.0
622,Chase Budinger,385.44444444444446,78.0
623,Chasson Randle,91.33333333333333,26.0
624,Chauncey Billups,839.2608695652174,82.0
625,Cheese Johnson,27.0,9.0
626,Cheick Diallo,87.0,17.0
627,Cheikh Samb,7.4,18.0
628,Cherokee Parks,214.0909090909091,79.0
629,Chet Walker*,1448.5384615384614,82.0
630,Chick Halbert,414.0,68.0
631,Chick Reiser,606.0,67.0
632,Chico Vaughn,484.42857142857144,77.0
633,Chinanu Onuaku,14.0,5.0
634,Chink Crossin,449.0,64.0
635,Chips Sobek,346.0,60.0
636,Chris Andersen,227.05882352941177,76.0
637,Chris Anstey,271.0,73.0
638,Chris Babb,22.0,14.0
639,Chris Bosh,1322.2307692307693,81.0
640,Chris Carr,272.6,60.0
641,Chris Childs,370.1818181818182,78.0
642,Chris Copeland,249.5,56.0
643,Chris Corchiani,92.0,51.0
644,Chris Crawford,236.28571428571428,56.0
645,Chris Douglas-Roberts,261.8333333333333,67.0
646,Chris Dudley,212.38888888888889,82.0
647,Chris Duhon,438.44444444444446,82.0
648,Chris Engler,38.36363636363637,54.0
649,Chris Ford,713.5,82.0
650,Chris Garner,36.0,38.0
651,Chris Gatling,536.8421052631579,85.0
652,Chris Harris,67.33333333333333,41.0
653,Chris Herren,112.0,45.0
654,Chris Hunter,270.0,60.0
655,Chris Jefferies,91.25,51.0
656,Chris Jent,18.5,3.0
657,Chris Johnson,79.21428571428571,70.0
658,Chris Kaman,631.3846153846154,82.0
659,Chris King,231.0,80.0
660,Chris McCray,0.0,5.0
661,Chris McCullough,46.0,24.0
662,Chris McNealy,155.33333333333334,59.0
